Front,Back,Tags
[Cloud-Native Networking Envoy eBPF and Overlay Networks.md] Socratic Question: Why does setting container interface MTU to 1500 bytes inside a VXLAN overlay network cause gRPC streaming calls to hang intermittently while short HTTP GET requests succeed?,See complete Socratic Answer Key in answers/Cloud-Native Networking Envoy eBPF and Overlay Networks.md,SocraticCheck
"[Cloud-Native Networking Envoy eBPF and Overlay Networks.md] Socratic Question: Why is iptables sequential packet evaluation ($O(N)$) fundamentally unsuited for large-scale Kubernetes clusters with 10,000+ services compared to Cilium eBPF socket maps?",See complete Socratic Answer Key in answers/Cloud-Native Networking Envoy eBPF and Overlay Networks.md,SocraticCheck
"[TCP vs UDP.md] Socratic Question: In your own words, explain WHY the TCP three-way handshake requires three steps instead of two. Don't just say ""to confirm both sides can communicate"" — give me the specific failure scenario that two steps can't handle.",See complete Socratic Answer Key in answers/TCP vs UDP.md,SocraticCheck
"[TCP vs UDP.md] Socratic Question: A system you built uses TCP. A user reports that when one image on a webpage is slow to load, ALL other images on that page also stall. What TCP-level phenomenon explains this, and why does it happen?",See complete Socratic Answer Key in answers/TCP vs UDP.md,SocraticCheck
"[TCP vs UDP.md] Socratic Question: You're designing a multiplayer game where 60 players' positions are updated 30 times per second. Should you use TCP or UDP? Explain your reasoning — and what would you build on TOP of your choice to handle the scenarios it doesn't cover natively?

---",See complete Socratic Answer Key in answers/TCP vs UDP.md,SocraticCheck
"[TCP vs UDP.md] Socratic Question: Based on this data, what is the root cause? Walk through your reasoning step by step.
- **Question 2:** What is the immediate mitigation (stop the bleeding RIGHT NOW)?
- **Question 3:** What is the long-term fix so this never happens again?
- **Question 4:** Why did the problem get worse gradually over 15 minutes instead of all at once?",See complete Socratic Answer Key in answers/TCP vs UDP.md,SocraticCheck
[Hardware Bounds NVMe PCIe NUMA and Cache Contention.md] Socratic Question: Why does setting container interface MTU to 1500 bytes inside a VXLAN overlay network cause gRPC streaming calls to hang intermittently while short HTTP GET requests succeed?,See complete Socratic Answer Key in answers/Hardware Bounds NVMe PCIe NUMA and Cache Contention.md,SocraticCheck
"[Hardware Bounds NVMe PCIe NUMA and Cache Contention.md] Socratic Question: Why is iptables sequential packet evaluation ($O(N)$) fundamentally unsuited for large-scale Kubernetes clusters with 10,000+ services compared to Cilium eBPF socket maps?",See complete Socratic Answer Key in answers/Hardware Bounds NVMe PCIe NUMA and Cache Contention.md,SocraticCheck
[Formal Verification TLA Plus Jepsen and DST.md] Socratic Question: Why does setting container interface MTU to 1500 bytes inside a VXLAN overlay network cause gRPC streaming calls to hang intermittently while short HTTP GET requests succeed?,See complete Socratic Answer Key in answers/Formal Verification TLA Plus Jepsen and DST.md,SocraticCheck
"[Formal Verification TLA Plus Jepsen and DST.md] Socratic Question: Why is iptables sequential packet evaluation ($O(N)$) fundamentally unsuited for large-scale Kubernetes clusters with 10,000+ services compared to Cilium eBPF socket maps?",See complete Socratic Answer Key in answers/Formal Verification TLA Plus Jepsen and DST.md,SocraticCheck
"[Vector Databases HNSW IVF-PQ and Semantic Search.md] Socratic Question: Why does increasing HNSW $efSearch$ during query execution improve retrieval recall, and what is the exact mathematical trade-off on p99 query latency?",See complete Socratic Answer Key in answers/Vector Databases HNSW IVF-PQ and Semantic Search.md,SocraticCheck
[Vector Databases HNSW IVF-PQ and Semantic Search.md] Socratic Question: An e-commerce platform uses Product Quantization (PQ64) for 100M product embeddings. Why does a query for a newly added rare product fail to return the item even though the item is present in the database?,See complete Socratic Answer Key in answers/Vector Databases HNSW IVF-PQ and Semantic Search.md,SocraticCheck
